state_name,city_name,year,month,day_of_week,time_of_day,accident_severity,number_of_vehicles_involved,vehicle_type_involved,number_of_casualties,number_of_fatalities,weather_conditions,road_type,road_condition,lighting_conditions,traffic_control_presence,speed_limit_(km/h),driver_age,driver_gender,driver_license_status,alcohol_involvement,accident_location_details,latitude,longitude,cluster,cluster_size
Mizoram,Unknown,2023,February,Wednesday,1:6,Minor,4,Auto-Rickshaw,5,5,Foggy,State Highway,Dry,Dark,Signals,65,57,Male,,Yes,Straight Road,20.870465981022406,78.83739156461513,0,2907
Haryana,Unknown,2020,October,Sunday,0:43,Minor,5,Pedestrian,7,5,Rainy,State Highway,Dry,Daylight,Signals,87,27,Male,Valid,Yes,Bridge,20.53565298973418,78.81764327293477,0,2907
Uttar Pradesh,Kanpur,2022,September,Sunday,21:31,Fatal,3,Two-Wheeler,4,0,Hazy,State Highway,Dry,Dawn,Signs,114,52,Female,Valid,Yes,Intersection,26.55706571224225,81.17871770456817,0,2907
Puducherry,Unknown,2018,July,Thursday,0:52,Fatal,3,Auto-Rickshaw,8,0,Clear,Village Road,Dry,Dark,Signs,31,34,Male,Valid,No,Bridge,20.390745501694948,78.80511551323234,0,2907
Mizoram,Unknown,2019,August,Sunday,17:49,Serious,4,Auto-Rickshaw,7,3,Rainy,State Highway,Wet,Dusk,Signs,118,38,Female,Expired,Yes,Intersection,20.79301075243071,78.91281871268352,0,2907
Arunachal Pradesh,Unknown,2019,November,Tuesday,5:7,Minor,1,Truck,9,5,Hazy,National Highway,Dry,Dawn,Signals,34,33,Male,,No,Curve,20.819159898487914,78.90137496412879,0,2907
Chhattisgarh,Unknown,2021,May,Thursday,11:36,Fatal,1,Auto-Rickshaw,8,4,Clear,National Highway,Wet,Dark,,41,46,Female,Expired,No,Straight Road,20.307361458854963,78.77493357674578,0,2907
Mizoram,Unknown,2020,September,Wednesday,10:24,Serious,4,Truck,0,0,Foggy,Village Road,Under Construction,Dark,Signs,110,66,Female,,No,Straight Road,20.328123633021818,79.00062023398337,0,2907
Delhi,Dwarka,2021,April,Tuesday,8:34,Fatal,3,Pedestrian,10,3,Stormy,Urban Road,Wet,Dawn,Signs,100,69,Female,Valid,Yes,Straight Road,20.364178957042846,79.23021701136571,0,2907
Sikkim,Unknown,2022,July,Thursday,4:53,Minor,4,Car,8,1,Rainy,State Highway,Wet,Daylight,,48,40,Female,Valid,Yes,Intersection,20.66713109262928,78.98763219028632,0,2907
Gujarat,Ahmedabad,2022,March,Wednesday,11:5,Fatal,1,Car,10,5,Foggy,Village Road,Dry,Dark,Signals,30,18,Male,Valid,No,Bridge,22.464269005504562,71.1119095189137,0,2907
Mizoram,Unknown,2023,June,Thursday,19:53,Fatal,4,Pedestrian,8,0,Stormy,Village Road,Damaged,Dawn,Police Checkpost,78,31,Female,,Yes,Bridge,20.736527734942282,79.25254203092462,0,2907
Uttarakhand,Unknown,2022,February,Friday,18:39,Serious,1,Pedestrian,5,1,Hazy,Urban Road,Under Construction,Dusk,Signals,74,50,Male,Expired,No,Curve,20.81331424238181,78.96163580089699,0,2907
Uttarakhand,Unknown,2021,May,Monday,8:36,Serious,2,Car,9,3,Stormy,State Highway,Under Construction,Daylight,Signs,41,46,Female,Valid,Yes,Intersection,20.38581584022063,78.67442978453735,0,2907
Mizoram,Unknown,2021,December,Friday,21:47,Minor,2,Truck,4,4,Clear,Village Road,Under Construction,Dusk,Police Checkpost,75,56,Male,Valid,Yes,Curve,20.726623619424245,78.98993977522933,0,2907
Bihar,Unknown,2018,November,Monday,0:5,Minor,2,Auto-Rickshaw,5,0,Hazy,State Highway,Under Construction,Dark,Signs,81,20,Male,Expired,Yes,Bridge,25.29939695181613,85.43250731527809,0,2907
Sikkim,Unknown,2021,September,Wednesday,12:58,Fatal,1,Auto-Rickshaw,9,3,Stormy,Urban Road,Wet,Dawn,Police Checkpost,89,47,Female,Valid,Yes,Curve,20.55895433026884,78.82350220096738,0,2907
Assam,Unknown,2018,December,Monday,8:12,Serious,1,Two-Wheeler,4,2,Stormy,Village Road,Damaged,Dawn,,46,30,Female,,Yes,Straight Road,20.36070343884794,78.6759046318844,0,2907
Mizoram,Unknown,2022,November,Sunday,21:1,Fatal,2,Bus,6,1,Stormy,State Highway,Under Construction,Dusk,,104,44,Female,Valid,Yes,Bridge,20.304145369040743,79.24570600661094,0,2907
Puducherry,Unknown,2023,November,Wednesday,0:29,Serious,3,Truck,1,1,Rainy,Urban Road,Under Construction,Dusk,Signals,92,28,Male,,Yes,Bridge,20.510441057583417,78.78276337232539,0,2907
Arunachal Pradesh,Unknown,2021,July,Wednesday,22:43,Fatal,5,Cycle,3,5,Rainy,State Highway,Wet,Daylight,Signs,40,50,Female,Valid,No,Curve,20.809319293119998,78.6634558805086,0,2907
Rajasthan,Jodhpur,2018,January,Monday,12:47,Fatal,2,Cycle,0,2,Hazy,State Highway,Under Construction,Dark,,89,61,Male,Expired,No,Bridge,27.123516294621446,74.20162781355393,1,93
Telangana,Unknown,2019,May,Thursday,13:55,Minor,1,Auto-Rickshaw,1,2,Stormy,Urban Road,Dry,Daylight,Signs,31,48,Female,Valid,Yes,Intersection,20.541514639072666,78.70023335066422,0,2907
Andhra Pradesh,Tirupati,2019,April,Tuesday,18:7,Serious,1,Car,10,5,Hazy,Village Road,Under Construction,Dawn,Signals,37,46,Male,Expired,Yes,Intersection,15.742427980193526,79.69762421608736,0,2907
Jharkhand,Unknown,2019,January,Tuesday,8:49,Serious,4,Two-Wheeler,5,4,Stormy,Village Road,Wet,Dusk,Signals,63,65,Male,Valid,No,Bridge,20.4018605667414,78.69382343475557,0,2907
Gujarat,Vadodara,2018,November,Saturday,17:9,Minor,2,Two-Wheeler,0,3,Clear,Village Road,Under Construction,Dark,Signals,88,60,Female,,No,Bridge,22.179969511186663,70.9861658816711,0,2907
West Bengal,Durgapur,2018,October,Sunday,10:57,Fatal,2,Bus,4,4,Foggy,State Highway,Wet,Dark,Signs,114,58,Male,Valid,Yes,Straight Road,22.8839981813131,87.89745868068961,0,2907
Andhra Pradesh,Vijayawada,2021,July,Friday,3:55,Fatal,5,Car,0,4,Stormy,Village Road,Wet,Dark,Signs,113,67,Female,Valid,Yes,Bridge,15.993409779556321,79.93681335371032,0,2907
Sikkim,Unknown,2018,March,Sunday,3:33,Fatal,5,Car,4,0,Foggy,State Highway,Wet,Daylight,,83,29,Female,Expired,Yes,Straight Road,20.87077468788392,79.15284805180967,0,2907
Meghalaya,Unknown,2020,December,Tuesday,16:35,Minor,4,Two-Wheeler,2,5,Hazy,State Highway,Wet,Dawn,Signs,57,18,Female,,No,Bridge,20.823015611160947,79.04055650733639,0,2907
Andhra Pradesh,Tirupati,2018,May,Tuesday,2:14,Fatal,5,Cycle,5,0,Hazy,National Highway,Under Construction,Dawn,Signs,89,23,Female,,Yes,Curve,15.862581046970842,79.81935196254432,0,2907
Andhra Pradesh,Visakhapatnam,2021,September,Tuesday,18:56,Fatal,3,Truck,8,2,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,67,59,Male,,No,Bridge,15.715811369770515,79.88500009736711,0,2907
Telangana,Unknown,2022,October,Friday,15:25,Minor,3,Two-Wheeler,10,0,Clear,National Highway,Under Construction,Daylight,Police Checkpost,45,48,Female,Valid,Yes,Curve,20.349143704224748,78.95403448957158,0,2907
Chandigarh,Unknown,2023,May,Monday,4:24,Serious,5,Car,0,3,Stormy,National Highway,Damaged,Dawn,Signs,67,18,Female,Valid,Yes,Straight Road,20.498879176833924,79.2200302671358,0,2907
Karnataka,Mysore,2023,November,Wednesday,8:7,Serious,3,Truck,3,3,Hazy,Village Road,Under Construction,Daylight,Signs,37,32,Female,Expired,No,Bridge,15.365702310404153,75.86390180463682,0,2907
Uttar Pradesh,Varanasi,2020,June,Wednesday,4:1,Fatal,3,Truck,10,3,Stormy,Urban Road,Damaged,Dusk,Signs,35,24,Female,Valid,No,Intersection,26.739336960644696,80.79022339944972,0,2907
Mizoram,Unknown,2018,May,Friday,14:33,Serious,2,Truck,4,4,Hazy,Urban Road,Damaged,Dusk,,105,62,Female,,No,Intersection,20.41917689735769,78.66878608403232,0,2907
Sikkim,Unknown,2021,October,Thursday,18:15,Serious,2,Cycle,5,4,Stormy,National Highway,Wet,Dawn,Police Checkpost,36,67,Male,Valid,Yes,Straight Road,20.755096727345126,79.07945632140076,0,2907
Nagaland,Unknown,2021,August,Tuesday,4:8,Serious,2,Truck,6,5,Hazy,Village Road,Dry,Dark,,93,31,Male,Expired,Yes,Intersection,20.65038248318287,79.1821073633675,0,2907
Punjab,Unknown,2018,December,Sunday,12:31,Minor,2,Two-Wheeler,4,4,Hazy,State Highway,Wet,Dawn,Signs,99,60,Female,Expired,No,Bridge,20.371884556801945,79.24550569973513,0,2907
Meghalaya,Unknown,2022,April,Thursday,16:29,Minor,5,Car,7,2,Clear,State Highway,Under Construction,Dawn,Signs,61,26,Female,Expired,No,Intersection,20.468165264704712,78.75714044292812,0,2907
Arunachal Pradesh,Unknown,2022,October,Saturday,20:53,Serious,1,Cycle,1,4,Foggy,State Highway,Dry,Dark,Police Checkpost,75,46,Female,Valid,Yes,Curve,20.30299930166387,78.70758809087053,0,2907
Rajasthan,Jaipur,2023,November,Saturday,9:17,Minor,4,Car,1,0,Stormy,Village Road,Under Construction,Dusk,Signs,89,23,Male,,Yes,Bridge,26.823869845418013,74.18065745940912,1,93
Himachal Pradesh,Unknown,2019,August,Tuesday,10:55,Serious,4,Cycle,5,3,Stormy,State Highway,Dry,Dusk,Signals,65,49,Female,Expired,Yes,Intersection,20.395109989649587,79.05046193443533,0,2907
Jharkhand,Unknown,2023,January,Saturday,12:32,Fatal,1,Bus,9,5,Foggy,State Highway,Under Construction,Dawn,Signals,106,38,Female,,Yes,Straight Road,20.368160089846025,79.01672568113733,0,2907
Jammu and Kashmir,Unknown,2021,July,Friday,15:19,Fatal,5,Cycle,2,2,Rainy,Village Road,Dry,Dark,Signals,93,43,Male,Expired,Yes,Intersection,20.535531354769443,79.02478074730604,0,2907
Puducherry,Unknown,2023,June,Wednesday,14:23,Minor,1,Truck,1,1,Rainy,Village Road,Wet,Dusk,,75,62,Male,Valid,No,Bridge,20.66642400195517,79.25679498514307,0,2907
Karnataka,Mysore,2019,July,Wednesday,17:40,Minor,3,Cycle,7,0,Clear,National Highway,Wet,Dusk,Signs,47,61,Female,,No,Bridge,15.33948200413307,75.89482078928062,0,2907
Bihar,Unknown,2018,December,Friday,1:19,Serious,5,Pedestrian,10,4,Hazy,Urban Road,Dry,Dark,,79,52,Male,,No,Intersection,25.27710415066796,85.09345998591279,0,2907
Goa,Unknown,2022,September,Monday,14:6,Fatal,1,Pedestrian,8,0,Clear,Village Road,Dry,Dusk,Signals,84,32,Female,Valid,No,Curve,20.863729703570804,79.13201295046547,0,2907
Telangana,Unknown,2023,March,Sunday,14:30,Minor,2,Bus,0,0,Clear,Urban Road,Damaged,Dusk,Signs,108,45,Male,Valid,No,Bridge,20.338163406796784,79.20687361042324,0,2907
Uttar Pradesh,Lucknow,2023,November,Wednesday,11:56,Serious,4,Truck,1,0,Clear,Urban Road,Wet,Daylight,,66,49,Male,,Yes,Straight Road,26.78276128592394,81.24126021970308,0,2907
Chandigarh,Unknown,2020,August,Friday,14:56,Minor,1,Truck,7,5,Clear,Urban Road,Dry,Dark,Signals,94,31,Male,Expired,Yes,Intersection,20.795051326256964,78.98889463936568,0,2907
Jharkhand,Unknown,2020,February,Tuesday,22:38,Fatal,5,Pedestrian,4,1,Hazy,National Highway,Under Construction,Daylight,Police Checkpost,110,57,Male,,No,Curve,20.33663333955136,78.88684715961914,0,2907
Manipur,Unknown,2022,February,Thursday,8:2,Fatal,4,Car,10,3,Rainy,National Highway,Dry,Dawn,,104,67,Male,Valid,Yes,Intersection,20.66561198489904,79.0577793243055,0,2907
Uttarakhand,Unknown,2021,August,Tuesday,4:25,Serious,5,Two-Wheeler,8,3,Stormy,Village Road,Wet,Dusk,Police Checkpost,116,67,Male,Expired,No,Straight Road,20.619577202706065,78.71427339649264,0,2907
Himachal Pradesh,Unknown,2023,July,Monday,21:28,Minor,3,Cycle,1,4,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,35,51,Female,Expired,Yes,Straight Road,20.730243425863467,78.86416751548529,0,2907
Arunachal Pradesh,Unknown,2021,December,Thursday,17:5,Serious,1,Auto-Rickshaw,9,2,Hazy,Village Road,Under Construction,Daylight,Police Checkpost,61,32,Male,Expired,Yes,Straight Road,20.81669776531987,78.76752251007137,0,2907
Jharkhand,Unknown,2019,July,Wednesday,13:12,Fatal,4,Pedestrian,3,0,Clear,National Highway,Under Construction,Dark,Signals,62,63,Female,Expired,Yes,Curve,20.613533286990332,79.02002453798472,0,2907
Madhya Pradesh,Unknown,2023,April,Wednesday,20:45,Serious,1,Truck,9,1,Rainy,Village Road,Wet,Dusk,Police Checkpost,90,19,Male,Valid,No,Intersection,22.764968253894192,78.9276606437392,0,2907
Punjab,Unknown,2022,July,Tuesday,13:50,Minor,3,Auto-Rickshaw,5,5,Rainy,Village Road,Dry,Dusk,Signs,73,51,Female,Valid,No,Curve,20.46183015505796,79.00494713974123,0,2907
Chhattisgarh,Unknown,2023,November,Wednesday,21:56,Fatal,2,Bus,3,5,Stormy,National Highway,Dry,Daylight,Signs,75,26,Male,Expired,No,Curve,20.554458000339,79.11133976311949,0,2907
Madhya Pradesh,Unknown,2022,February,Sunday,15:38,Serious,4,Bus,10,4,Hazy,National Highway,Damaged,Dawn,Signs,120,35,Male,Expired,No,Intersection,23.153316061518197,78.36631041156332,0,2907
Puducherry,Unknown,2021,July,Saturday,11:17,Fatal,2,Truck,8,0,Foggy,Village Road,Wet,Dusk,,69,38,Female,,No,Straight Road,20.697022949844843,78.97883303363096,0,2907
Sikkim,Unknown,2021,February,Wednesday,19:49,Minor,4,Auto-Rickshaw,6,4,Hazy,Village Road,Damaged,Daylight,,51,68,Female,,No,Intersection,20.584229825857843,78.79121544089939,0,2907
Chandigarh,Unknown,2020,June,Thursday,9:33,Minor,2,Two-Wheeler,1,3,Hazy,State Highway,Wet,Daylight,Signals,33,44,Female,Valid,Yes,Straight Road,20.4782379650452,79.02833419732902,0,2907
Sikkim,Unknown,2020,August,Monday,4:33,Serious,2,Auto-Rickshaw,9,1,Clear,National Highway,Damaged,Dusk,Signs,51,25,Male,Expired,No,Curve,20.32153266744575,78.99873552095117,0,2907
Haryana,Unknown,2022,November,Friday,17:15,Serious,2,Cycle,2,4,Rainy,State Highway,Dry,Daylight,Signals,56,22,Male,Expired,Yes,Bridge,20.338115716321823,79.25381397319515,0,2907
Himachal Pradesh,Unknown,2021,June,Thursday,20:32,Minor,2,Auto-Rickshaw,1,0,Rainy,Village Road,Under Construction,Dusk,Signs,54,19,Female,,Yes,Bridge,20.42518636679601,78.9694584733883,0,2907
Uttar Pradesh,Lucknow,2023,May,Tuesday,5:18,Serious,3,Pedestrian,0,2,Clear,State Highway,Wet,Dark,Signals,89,27,Male,Expired,No,Bridge,26.98676688123004,80.95009060400946,0,2907
Assam,Unknown,2018,November,Friday,9:58,Serious,1,Car,8,0,Foggy,State Highway,Under Construction,Dusk,,102,61,Female,Valid,Yes,Intersection,20.69576514144322,78.7295941649146,0,2907
Odisha,Unknown,2020,March,Wednesday,11:36,Minor,1,Pedestrian,1,2,Clear,Village Road,Dry,Dawn,Signals,110,25,Female,Expired,Yes,Straight Road,20.486291775977755,78.86793667680737,0,2907
Puducherry,Unknown,2022,April,Wednesday,3:5,Minor,5,Car,5,3,Foggy,Village Road,Wet,Dark,Police Checkpost,116,44,Male,Valid,Yes,Curve,20.537209233866772,79.00885339710841,0,2907
Karnataka,Mangalore,2020,February,Wednesday,2:54,Serious,4,Cycle,2,2,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,60,38,Female,Valid,Yes,Bridge,15.578415128137047,75.96500033253263,0,2907
Gujarat,Ahmedabad,2022,January,Friday,13:46,Fatal,4,Two-Wheeler,8,5,Foggy,Urban Road,Under Construction,Dark,Police Checkpost,100,43,Male,,Yes,Straight Road,21.96072430318518,71.30494916908907,0,2907
Puducherry,Unknown,2022,April,Monday,15:32,Minor,4,Two-Wheeler,0,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,118,62,Male,Expired,No,Bridge,20.74443358028478,79.15487481622633,0,2907
Sikkim,Unknown,2020,March,Monday,6:39,Minor,3,Pedestrian,4,1,Stormy,State Highway,Wet,Daylight,Signals,43,25,Male,,No,Straight Road,20.362444955636064,78.74217667297202,0,2907
Tamil Nadu,Coimbatore,2021,August,Sunday,16:25,Fatal,2,Cycle,1,1,Clear,National Highway,Dry,Dawn,Police Checkpost,40,68,Male,,No,Curve,11.279379918194659,78.8920484820633,0,2907
Chandigarh,Unknown,2021,January,Tuesday,23:8,Serious,5,Auto-Rickshaw,5,3,Stormy,National Highway,Damaged,Dusk,Police Checkpost,62,36,Male,Valid,No,Intersection,20.89119690414735,79.03744506044647,0,2907
Nagaland,Unknown,2021,August,Friday,8:52,Minor,2,Bus,0,3,Rainy,Urban Road,Wet,Dark,Signs,32,43,Female,Valid,Yes,Bridge,20.77660550570124,79.08590154804142,0,2907
Uttarakhand,Unknown,2021,September,Tuesday,20:38,Minor,3,Car,10,1,Stormy,Urban Road,Damaged,Dark,,111,28,Female,Valid,Yes,Curve,20.677776307260686,79.12527845144504,0,2907
Chandigarh,Unknown,2022,May,Friday,21:29,Minor,1,Pedestrian,8,4,Hazy,Urban Road,Dry,Daylight,Signs,51,30,Male,,No,Bridge,20.60733686435453,78.73814676508172,0,2907
Jammu and Kashmir,Unknown,2021,January,Friday,23:27,Serious,1,Auto-Rickshaw,1,4,Foggy,National Highway,Dry,Dawn,Signals,40,42,Female,,No,Bridge,20.462691178644185,78.75647101096914,0,2907
Andhra Pradesh,Tirupati,2022,May,Monday,6:51,Fatal,1,Cycle,0,2,Hazy,Village Road,Dry,Dusk,Signals,84,27,Male,,No,Straight Road,16.075404473390197,79.50772821547127,0,2907
Madhya Pradesh,Unknown,2022,April,Monday,14:43,Serious,2,Car,1,1,Clear,Village Road,Damaged,Dawn,Police Checkpost,49,49,Male,Valid,Yes,Bridge,22.810347112918485,78.9480350680046,0,2907
Chandigarh,Unknown,2018,June,Monday,2:57,Serious,3,Bus,5,5,Stormy,State Highway,Dry,Dark,,60,56,Female,Expired,No,Bridge,20.31512596811926,78.72446651735326,0,2907
Uttar Pradesh,Varanasi,2020,February,Wednesday,23:57,Fatal,3,Truck,3,5,Foggy,Village Road,Damaged,Dawn,Signs,70,25,Female,Valid,Yes,Straight Road,26.754722305174006,80.99118433460349,0,2907
West Bengal,Durgapur,2021,September,Monday,14:41,Fatal,2,Pedestrian,3,5,Stormy,National Highway,Dry,Dusk,Police Checkpost,41,61,Male,Expired,Yes,Straight Road,22.888121284492215,87.85668421408397,0,2907
Chhattisgarh,Unknown,2023,May,Monday,3:14,Serious,2,Car,3,0,Clear,State Highway,Damaged,Daylight,Police Checkpost,47,34,Female,,Yes,Intersection,20.510107491387615,78.74072784878844,0,2907
West Bengal,Siliguri,2021,January,Tuesday,4:32,Fatal,1,Car,10,3,Rainy,Village Road,Under Construction,Daylight,Police Checkpost,106,34,Male,Valid,Yes,Straight Road,22.73002866368157,87.75896422936596,0,2907
Delhi,Rohini,2021,January,Wednesday,1:38,Fatal,4,Cycle,8,3,Stormy,State Highway,Under Construction,Dark,Signals,77,67,Male,Valid,No,Intersection,20.63441545838145,79.13888239583441,0,2907
Gujarat,Ahmedabad,2019,June,Sunday,18:24,Serious,3,Truck,10,3,Rainy,National Highway,Under Construction,Daylight,,66,47,Female,,No,Straight Road,22.154070148676666,71.25041079265289,0,2907
Goa,Unknown,2022,January,Thursday,10:48,Serious,2,Bus,1,2,Rainy,Urban Road,Under Construction,Dusk,Police Checkpost,90,19,Male,Valid,No,Bridge,20.394375119607,78.93878495387597,0,2907
Goa,Unknown,2018,December,Monday,4:38,Minor,2,Truck,1,0,Hazy,Urban Road,Under Construction,Daylight,Signals,67,70,Female,Valid,No,Intersection,20.722204521119806,78.89597311954913,0,2907
Assam,Unknown,2019,November,Wednesday,13:2,Serious,4,Cycle,5,3,Hazy,National Highway,Dry,Dusk,Police Checkpost,65,18,Male,Valid,No,Bridge,20.45764307043539,79.04752253187813,0,2907
Punjab,Unknown,2022,May,Wednesday,9:3,Fatal,2,Bus,6,3,Foggy,National Highway,Dry,Daylight,Signs,53,44,Female,,Yes,Bridge,20.323100025332568,78.90784387455793,0,2907
Odisha,Unknown,2020,September,Tuesday,3:54,Minor,3,Pedestrian,0,4,Hazy,Urban Road,Wet,Dusk,Signs,69,29,Female,Valid,Yes,Curve,20.38574958555021,79.10758905997822,0,2907
Uttarakhand,Unknown,2023,August,Friday,2:55,Fatal,1,Cycle,8,5,Foggy,Urban Road,Under Construction,Dawn,Signs,84,69,Male,Valid,No,Intersection,20.313486302089277,79.22797586502273,0,2907
Madhya Pradesh,Unknown,2022,November,Thursday,14:12,Serious,2,Bus,1,0,Rainy,State Highway,Under Construction,Dawn,,41,28,Female,Valid,Yes,Curve,22.969940997197508,78.3747785554196,0,2907
Karnataka,Mysore,2023,June,Sunday,16:49,Minor,2,Truck,8,0,Stormy,Village Road,Dry,Dusk,Police Checkpost,48,67,Female,Valid,No,Straight Road,15.292839474518514,75.47175789360685,0,2907
Telangana,Unknown,2019,July,Saturday,15:48,Serious,3,Two-Wheeler,7,3,Stormy,National Highway,Damaged,Daylight,,109,68,Male,Valid,No,Bridge,20.69959607163722,78.83601404995642,0,2907
Bihar,Unknown,2022,May,Tuesday,1:45,Minor,4,Car,1,5,Stormy,Village Road,Dry,Dark,Signals,72,40,Female,Valid,Yes,Straight Road,25.33461653453328,85.03520528542677,0,2907
Chhattisgarh,Unknown,2022,July,Monday,16:40,Serious,2,Truck,4,2,Hazy,National Highway,Wet,Daylight,,94,68,Female,Valid,No,Curve,20.342758418864065,78.91070031871016,0,2907
Rajasthan,Jodhpur,2020,September,Tuesday,4:30,Serious,1,Cycle,0,2,Stormy,Village Road,Dry,Dawn,Signals,50,32,Female,Expired,No,Intersection,26.914829136627297,74.18787247293537,1,93
Goa,Unknown,2020,October,Saturday,3:32,Fatal,2,Bus,9,4,Rainy,Village Road,Dry,Daylight,Police Checkpost,35,18,Male,Expired,No,Curve,20.358024764270105,79.0536174619261,0,2907
Jharkhand,Unknown,2018,October,Tuesday,16:43,Serious,1,Two-Wheeler,8,4,Clear,Urban Road,Damaged,Dawn,,39,58,Male,Valid,Yes,Intersection,20.86040692519052,78.94808777600792,0,2907
Puducherry,Unknown,2018,November,Friday,5:23,Fatal,5,Truck,9,2,Stormy,State Highway,Under Construction,Daylight,Police Checkpost,106,47,Male,,Yes,Curve,20.327172838718468,78.77722346982301,0,2907
Kerala,Unknown,2023,June,Monday,18:51,Minor,5,Auto-Rickshaw,5,1,Clear,Village Road,Under Construction,Dawn,Signals,113,53,Female,Valid,Yes,Bridge,20.708609605618733,78.97287987269767,0,2907
Bihar,Unknown,2020,March,Friday,11:4,Serious,2,Auto-Rickshaw,3,2,Hazy,National Highway,Damaged,Daylight,,64,43,Male,Valid,Yes,Intersection,24.982329367757586,85.25532840511998,0,2907
Odisha,Unknown,2019,October,Tuesday,9:19,Serious,4,Auto-Rickshaw,7,4,Foggy,National Highway,Damaged,Daylight,,108,31,Female,Valid,No,Intersection,20.863729841895026,79.23411973444968,0,2907
Nagaland,Unknown,2018,December,Monday,8:53,Fatal,1,Auto-Rickshaw,10,4,Hazy,Village Road,Dry,Daylight,Police Checkpost,94,70,Male,Expired,No,Straight Road,20.735821501688285,79.02061395138666,0,2907
Andhra Pradesh,Tirupati,2021,April,Thursday,20:35,Minor,5,Two-Wheeler,6,4,Clear,State Highway,Wet,Dusk,,115,48,Female,Valid,Yes,Intersection,15.651648668874394,79.96236200592406,0,2907
Nagaland,Unknown,2023,March,Friday,2:21,Fatal,3,Car,2,4,Hazy,National Highway,Under Construction,Daylight,Signs,31,27,Male,,Yes,Straight Road,20.892210696976395,79.2564988668067,0,2907
Tamil Nadu,Coimbatore,2022,March,Wednesday,6:32,Serious,1,Auto-Rickshaw,2,3,Hazy,National Highway,Wet,Dusk,Signals,80,48,Female,,Yes,Straight Road,11.042144794912543,78.42233580322447,0,2907
Chhattisgarh,Unknown,2018,March,Tuesday,6:7,Fatal,2,Auto-Rickshaw,10,0,Stormy,Village Road,Under Construction,Dawn,,96,28,Female,,No,Straight Road,20.77142395432876,79.08378156575968,0,2907
Tripura,Unknown,2019,March,Wednesday,7:27,Minor,2,Two-Wheeler,4,0,Rainy,Urban Road,Wet,Daylight,,71,20,Male,,Yes,Intersection,20.794955307887783,78.91827667804692,0,2907
Maharashtra,Pune,2019,June,Friday,8:34,Serious,2,Cycle,3,1,Rainy,Urban Road,Wet,Daylight,Signs,91,47,Female,Expired,Yes,Curve,20.001432020414583,75.60266212478001,0,2907
Karnataka,Mangalore,2020,February,Monday,10:7,Serious,3,Bus,2,0,Foggy,National Highway,Wet,Dusk,,55,37,Female,Expired,Yes,Bridge,15.266619962617778,75.75053950292872,0,2907
Andhra Pradesh,Vijayawada,2021,May,Thursday,20:27,Minor,3,Auto-Rickshaw,5,4,Foggy,National Highway,Wet,Dusk,Signs,85,29,Female,Expired,Yes,Intersection,15.705758495661138,79.72793706279704,0,2907
Bihar,Unknown,2020,January,Wednesday,5:22,Minor,2,Bus,7,0,Clear,Urban Road,Under Construction,Daylight,Signs,62,70,Male,Expired,No,Intersection,25.000066349275844,85.3893606873896,0,2907
Chandigarh,Unknown,2022,May,Thursday,5:22,Minor,1,Auto-Rickshaw,3,3,Rainy,Urban Road,Under Construction,Daylight,Signs,83,70,Male,Valid,No,Straight Road,20.395096327663612,79.18894791650004,0,2907
Assam,Unknown,2018,January,Saturday,19:20,Serious,3,Two-Wheeler,9,4,Hazy,Urban Road,Under Construction,Dusk,Signals,31,43,Female,,No,Intersection,20.41261132957959,78.91543989852212,0,2907
Uttarakhand,Unknown,2021,June,Thursday,9:35,Minor,4,Two-Wheeler,3,0,Clear,Village Road,Damaged,Dusk,Police Checkpost,119,66,Male,Valid,Yes,Straight Road,20.49387574395061,78.67089916057365,0,2907
Punjab,Unknown,2022,October,Sunday,10:4,Minor,3,Bus,1,0,Hazy,National Highway,Dry,Dusk,Signs,55,51,Male,Valid,No,Bridge,20.487744543101215,78.92915491687238,0,2907
Odisha,Unknown,2020,July,Sunday,14:45,Serious,2,Two-Wheeler,3,5,Hazy,Village Road,Damaged,Dusk,Police Checkpost,67,59,Female,Valid,Yes,Intersection,20.40878236167366,79.09376663101025,0,2907
Uttarakhand,Unknown,2023,September,Tuesday,6:46,Fatal,4,Pedestrian,6,0,Rainy,Urban Road,Damaged,Daylight,Signs,105,45,Female,,Yes,Straight Road,20.380062113274906,78.83866313627762,0,2907
Rajasthan,Jaipur,2019,June,Friday,12:25,Minor,5,Car,7,0,Rainy,National Highway,Dry,Dusk,Signals,99,21,Male,Valid,No,Curve,27.312750893272323,74.35188580506694,1,93
Gujarat,Surat,2022,March,Monday,15:39,Fatal,3,Cycle,9,3,Rainy,Village Road,Under Construction,Dusk,Police Checkpost,48,45,Female,Expired,No,Straight Road,22.439959060914763,71.32168335811464,0,2907
Karnataka,Mysore,2021,August,Thursday,16:45,Fatal,5,Two-Wheeler,6,4,Foggy,State Highway,Dry,Daylight,,96,27,Male,,No,Intersection,15.222424092625491,75.59272090555578,0,2907
Sikkim,Unknown,2021,November,Monday,11:33,Fatal,5,Pedestrian,5,1,Rainy,Urban Road,Dry,Daylight,,103,51,Female,Valid,No,Intersection,20.405584329555992,78.67768064685818,0,2907
